date_name,local_team,local_result,visitor_result,visitor_team
Campeonato 1932,Estudiantes (LP),6,1,Gimnasia (LP)
Campeonato 1932,San Lorenzo,0,1,Chacarita
Campeonato 1932,River Plate,3,0,Independiente
Campeonato 1932,River Plate,6,1,Independiente
Campeonato 1932,Argentinos,2,2,Velez
Campeonato 1932,Racing Club,2,0,Gimnasia (LP)
Campeonato 1932,Velez,3,2,Talleres (RdE)
Campeonato 1932,Chacarita,1,2,Argentinos
Campeonato 1932,Argentinos,0,0,Chacarita
Campeonato 1932,Atlanta,0,3,River Plate
Campeonato 1932,River Plate,5,3,Atlanta
Campeonato 1932,Lanus,0,2,Velez
Campeonato 1932,Velez,3,1,Lanus
Campeonato 1932,Estudiantes (LP),1,2,Atlanta
Campeonato 1932,Gimnasia (LP),2,3,Estudiantes (LP)
Campeonato 1932,Ferro,2,4,Independiente
Campeonato 1932,Lanus,1,4,Chacarita
Campeonato 1932,Chacarita,1,1,Lanus
Campeonato 1932,Atlanta,0,2,Estudiantes (LP)
Campeonato 1932,Tigre,1,1,Talleres (RdE)
Campeonato 1932,Talleres (RdE),2,0,Tigre
Campeonato 1932,Independiente,5,0,River Plate
Campeonato 1932,River Plate,5,2,Argentinos
Campeonato 1932,Argentinos,1,2,River Plate
Campeonato 1932,Velez,1,1,Argentinos
Campeonato 1932,Platense,3,0,Atlanta
Campeonato 1932,Ferro,6,1,Atlanta
Campeonato 1932,Atlanta,2,1,Ferro
Campeonato 1932,Lanus,2,2,Tigre
Campeonato 1932,Velez,1,4,San Lorenzo
Campeonato 1932,Talleres (RdE),2,3,Huracan
Campeonato 1932,Huracan,2,2,Talleres (RdE)
Campeonato 1932,San Lorenzo,0,0,Velez
Campeonato 1932,Talleres (RdE),1,1,Chacarita
Campeonato 1932,Chacarita,2,1,Talleres (RdE)
Campeonato 1932,Tigre,2,3,Huracan
Campeonato 1932,Huracan,3,0,Tigre
Campeonato 1932,Atlanta,1,1,Racing Club
Campeonato 1932,Argentinos,0,3,Estudiantes (LP)
Campeonato 1932,Racing Club,2,1,Atlanta
Campeonato 1932,Talleres (RdE),3,2,Lanus
Campeonato 1932,Lanus,2,1,Talleres (RdE)
Campeonato 1932,Chacarita,4,2,Platense
Campeonato 1932,Quilmes,0,4,Racing Club
Campeonato 1932,Racing Club,1,0,Quilmes
Campeonato 1932,Platense,2,1,Chacarita
Campeonato 1932,Huracan,0,3,Boca Juniors
Campeonato 1932,Boca Juniors,5,1,Huracan
Campeonato 1932,San Lorenzo,1,1,Racing Club
Campeonato 1932,Chacarita,2,4,Ferro
Campeonato 1932,Gimnasia (LP),1,1,Racing Club
Campeonato 1932,Estudiantes (LP),4,2,Argentinos
Campeonato 1932,Platense,5,2,Velez
